Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
Màkùbe matân.	Makubé matan.
Kùdùl lı̀en.	Kudul lién.
Lı̀ha mùdàa ŋkom = lı̀kùn mùdàa.	Liha mudaa ñkôm = likun mudaa.
Màjò à ɓe top bı̀kùdsi.	Majô a bé tôp bikudsi.
Kii à nnùn mɛ̂?	Kii a nnun me?
Mùt bı̀nàm à biùŋgha ni Nyāmbɛ̂.	Mut binam a biuñgha ni Nyambe.
À ǹlôŋlaha mɛ ŋgàndàk bı̀jɛk; dı̀ ǹlôŋlaha mambɛ̀gɛ̀ɛ̀.	A nlôñlaha me ñgandak bijek; di nlôñlaha mambegee.
Kɛ̀ɛ ap màlep ı̀lɔ̀lɛ ù ŋkɛ̀ i sǔglù.	Kee ap malép ilole u ñke i suglu.
Jàm li ntùù mɛ̂.	Jam li ntuu me.
Mɛ̀ nı̀ lı̀wanda jɛ̂m dı̀ ŋ̀kidha miŋkày.	Me ni liwanda jem di ñkidha miñkay.
À mɓùhul binjǎŋmùha.	A mbuhul binjañmuha.
M̀bombo à ǹcebes ŋgandàk cèe.	Mbômbô a ntjébés ñgandak tjéé.
À ŋ̀kubul jimb jɛ̂m.	A ñkubul jimb jem.
Biyeè bijɔ̌k, bi gwaŋâ pɔ̂k!	Biyéé bijok, bi gwaña pok!
Lɔ̀ga ı̄ jɛ̄ bààm, m̂ɓòŋ à m̂ɓebı̂.	Loga i je baam, mbôñ a mbébi.
Hı̀ɓoy hi ye ndɛ̄k màɔ̀k.	Hibôy hi yé ndek maok.
Màlep ma hûndlàk...miŋgwāŋ ŋwɔmisonā nı̀ binyɛ̄ŋ (Yès 8,7).	Malép ma hundlak...miñgwañ ñwomisôna ni binyeñ (Yés 8,7).
Màlep ma hûndlàk...miŋgwāŋ ŋwɔmisonā nı̀ binyɛ̄ŋ (Yès 8,7).	Malép ma hundlak...miñgwañ ñwomisôna ni binyeñ (Yés 8,7).
Jàla lini li gweē ǹsòn ŋgàndàk.	Jala lini li gwéé nsôn ñgandak.
Lini jàm li biɓɔ̄l nyɛ ŋɛm macèl.	Lini jam li bibol nye ñem matjél.
Sulûk ı̀ ŋkɔ̀ɔ̀gà.	Suluk i ñkooga.
Ɓàbi ɛ̄.	Babi e.
Kii i nnyodha wɛ ı̄ nàŋ; dı̀ ǹnyodha i nàŋ.	Kii i nnyôdha we i nañ; di nnyôdha i nañ.
À ǹhas man.	A nhas man.
M̀ɓɔ̀hbɛ̀ mût.	Mbohbe mut.
Màŋgɛ à ǹsabāl mɛ kàsı̀maŋgà.	Mañge a nsabal me kasimañga.
I màŋgɛ nunu à nnòlhà; ɓa nôlhà.	I mañge nunu a nnôlha; ba nôlha.
Sonda ı̀ heeba ɓɛ̀n yee.	Sônda i hééba ben yéé.
Ɓa bijēs nyɛ ɓɔ̀bɛ̀.	Ba bijés nye bobe.
À ŋkɔ̀ŋɔɔ nyɛ̂mb.	A ñkoñoo nyemb.
À ǹyodɛ̄ man hana isı̄.	A nyôde man hana isi.
Nunu mùt à nnùmbus ǹsùl wɛ̀ɛ so.	Nunu mut a nnumbus nsul wee sô.
Kwɔ̀ lı̀mbɔ̀t.	Kwo limbot.
Ù ǹlegɓana inyùu ndɔk.	U nlégbana inyuu ndok.
Mı̀ŋkana mi mpɔt lɛ sǔglù ı̀ ǹlama ɓodōl yani.	Miñkana mi mpot le suglu i nlama bôdôl yani.
Ɓàa cù di nlèbna i sōŋ màtop ɛ?	Baa tju di nlébna i sôñ matôp e?
Nuu màŋgɛ à ŋgōgop ŋgandàk.	Nuu mañge a ñgôgôp ñgandak.
Ɓa ŋkit ŋkòò kwɛŋ.	Ba ñkit ñkôô kweñ.
Nunu mùt à ŋkɔ̀n ŋgomba.	Nunu mut a ñkon ñgômba.
Ŋ̀kot ɛ inyùu nɔ̄hɔ̂p tɔ̀ lembêl i ŋgèdà ɓa ŋkuyɛ̄ (ŋkwiyɛ̄) wɔ.	Ñkôt e inyuu nohop to lémbél i ñgéda ba ñkuye (ñkwiye) wo.
Kinjɛ̄ nyà jàm?	Kinje nya jam?
Mùt nunu à ŋ̀kwɔ̂ ǹsı̀ŋgà.	Mut nunu a ñkwo nsiñga.
Bı̀lamà bi Siòn.	Bilama bi Siôn.
Nyǔŋ nân; ɓànyùŋ ɓanân.	Nyuñ nan; banyuñ banan.
Nɔ̌p à ǹhulus lep.	Nop a nhulus lép.
Ɓa ntı̀ŋlana miŋkòò.	Ba ntiñlana miñkôô.
Hı̀lɔga hi nsɔs hiŋgɔ̀ndà màmaŋ.	Hiloga hi nsos hiñgonda mamañ.
À ǹsɔ̂m wɔɔ i ŋwı̀ı̀.	A nsom woo i ñwii.
Ndèk màŋgɛ ı̀ ŋ̀kɔŋ nyɛ.	Ndék mañge i ñkoñ nye.
Mɛ̀ ŋ̀kâl nyɛ halà, à camla caat.	Me ñkal nye hala, a tjamla tjaat.
Màjòp ma ndap mɔ̀ndɔ.	Majôp ma ndap mondo.
Mbɔt mbèŋ.	Mbot mbéñ.
Màma à ǹlamb ɓaɓògà.	Mama a nlamb babôga.
Nan mût.	Nan mut.
Tɔ̀ lakı̀i màùm nı̀ njɔ̂m bi ŋkeŋa wɛ̂ (Èz 2,6).	To lakii maum ni njom bi ñkéña we (Éz 2,6).
À ɓunul mɛ̀ sɛ̀l masoo i kɛ̄l yɛ̂m lı̀gweê.	A bunul me sel masôô i kel yem ligwéé.
Nunu màŋgɛ à yè ŋgɔ̀nd tond.	Nunu mañge a yé ñgond tônd.
À ǹyɔbna i òt mı̀nsɔ̀ŋgi.	A nyobna i ôt minsoñgi.
Ŋ̀kɔnd wɛ̂m u ndap u ɓeēga ŋgàndàk bı̀lɛ̀ŋ.	Ñkond wem u ndap u bééga ñgandak bileñ.
Hagal nyɔ̀.	Hagal nyo.
Mɛ̀ mpɔ̄t mpaha.	Me mpot mpaha.
«Ɓa mɓı̀hil ɓe limà ŋgambi.»	«Ba mbihil bé lima ñgambi.»
Lı̀kala li kop.	Likala li kôp.
Lı̀hôk ù nhō ɓaɓɔ̀ŋ biɓeba bi mâm li nlēmel ɓe lôk ŋgɔmı̂n.	Lihôk u nhô baboñ bibéba bi mam li nlémél bé lôk ñgomin.
À ɓèndi nsɔ̄n.	A béndi nson.
Kii ù ŋěs i màn nunu?	Kii u ñés i man nunu?
Màlombla ma Yɔndɔ ma ŋgwèlel ɓàŋga ini a) inyùu Mbuu M̀pubi ikède ŋ̀ŋɛm u nhemlɛ̀ kı̀kı̀i ɓān (Romà 8,23); b) inyùu ɓòt ɓa mɓôk hyɛ̂lɓa pɛ̂s mbɔk yada (Romà 16,5); c) inyùu Yesù nyɛmɛ̀dɛ (I Kɔ̀rintò 15,20,23).	Malômbla ma Yondo ma ñgwélél bañga ini a) inyuu Mbuu Mpubi ikédé ññem u nhémle kikii ban (Rôma 8,23); b) inyuu bôt ba mbôk hyelba pes mbok yada (Rôma 16,5); tj) inyuu Yésu nyemede (I Korintô 15,20,23).
Krı̌stò à tùglana i kède ɓàwɔga (1.Kɔr.15,20).	Kristô a tuglana i kédé bawoga (1.Kor.15,20).
Kuli nı̀.	Kuli ni.
À ǹlebha mɛ ŋgèdà; dı̀ ǹlebha binan.	A nlébha me ñgéda; di nlébha binan.
Nyambɛ à nsāyap tenten i ɓɛ̌t ɓa nnōgol mamben mee.	Nyambe a nsayap téntén i bet ba nnôgôl mambén méé.
M̀ɓàây todò.	Mbaay tôdô.
M̀ɓàây todò.	Mbaay tôdô.
Bı̀jò kı̌ŋgèdà lı̀ɓâk li mben (HMBN).	Bijô kiñgéda libak li mbén (HMBN).
Sogol à ŋ̀âdnā majò hyèe.	Sôgôl a ñadna majô hyéé.
Hı̀lɔ hyɔŋ hi makè hi ŋkahal ɓɔŋɓɛ̀.	Hilo hyoñ hi maké hi ñkahal boñbe.
Fɛ̀ŋkɛɛ̄ à m̂podol mɛ lɛ̀n i njɛ̀l.	Feñkee a mpôdôl me len i njel.
Ǹsɔn mbɔlan.	Nson mbolan.
À nnyɔ̀m i kòò.	A nnyom i kôô.
Ù ti ɓâŋ ǹsı̀ò wɛ̂m càga càgà tiga lɛ u mmâl ŋgûy.	U ti bañ nsiô wem tjaga tjaga tiga le u mmal ñguy.
Mɛ̀ mɓàt lɛ ù yè hɛɛ?	Me mbat le u yé hee?
Màŋgɛ sǔglù à ǹheha mɛ ɓàɓɔ̀blà; dı̀ ǹheha ndâmb liēn.	Mañge suglu a nhéha me babobla; di nhéha ndamb lién.
Lı̀hɛp li tèèŋgaga mɛ̂, màjò à m̂ɓɔ̂ŋ mɛ m̂ɓùma.	Lihep li tééñgaga me, majô a mboñ me mbuma.
Ŋgàtà mı̀ŋgɔndɔ.	Ñgata miñgondo.
Mɛ̀ ǹtɛhɛ gwɔm gwɔbisô, yɔ̌m i nheŋel mɛ̂ m̂ɓɔ̀m sibà.	Me ntehe gwom gwobisô, yom i nhéñél me mbom siba.
Podôs ŋgòs.	Pôdôs ñgôs.
Kı̀i màŋgɛ à ǹnɛ̂t kêgsɛ̀, màjò mee à kahal sòhbɛ̀.	Kii mañge a nnet kégse, majô méé a kahal sôhbe.
Mùdàa màŋgàŋga à mɓèègaha nlom mbɛ̀gɛ̀ɛ̀ ı̀ ŋŋèt.	Mudaa mañgañga a mbéégaha nlôm mbegee i ññét.
Màhoâ ma nyɔɔ.	Mahôa ma nyoo.
Lı̀tɔl bı̀siŋli.	Litol bisiñli.
Wɛ̌n ù ǹsêndaha maŋan mapɛp; dı̀ nsèŋdaha mapɛp.	Wen u nséndaha mañan mapep; di nséñdaha mapep.
Ŋ̀kɔ̀ŋɓɛ̀ à gwèe mɛ̀.	Ñkoñbe a gwéé me.
Lı̀hàà jes li gweē mbɔmbɔ̀k.	Lihaa jés li gwéé mbombok.
Bı̀ɓèmba gwɔŋ bi ye dı̀yùndà.	Bibémba gwoñ bi yé diyunda.
Màkɔ̀ndɔ̀ ma mɓeēla ndigi nyɛ̄ haana i wɔ̌m.	Makondo ma mbééla ndigi nye haana i wom.
Ɛ i ɓelı̄ ŋgwāŋ lɔ̂m.	E i béli ñgwañ lom.
M̀ɓɔn lahma.	Mbon lahma.
Hı̀uu jamân.	Hiuu jaman.
Hɛɛ hı̀da hı̄ ntûl?	Hee hida hi ntul?
Sondâ ı̀ nnɔ̄ga ɓe ŋgoò.	Sônda i nnoga bé ñgôô.
Kı̀i màŋgɛ à ǹtɛlɓa liwindi, mɛ̀ nɔk ndigi kwōk!	Kii mañge a ntelba liwindi, me nok ndigi kwôk!
Wehel i mapɛp.	Wéhél i mapep.
À gatōbol ɓe wɛ ı̄ ŋwı̀n unu.	A gatôbôl bé we i ñwin unu.
Nɔ̌p à ŋ̀kɔhı̂.	Nop a ñkohi.
Mɔm!	Mom!
Kek yɔ̌n mɛ̀ m̂ɓûŋgnɛ (m̂ɓûŋgna) kop.	Kék yon me mbuñgne (mbuñgna) kôp.
Kek yɔ̌n mɛ̀ m̂ɓûŋgnɛ (m̂ɓûŋgna) kop.	Kék yon me mbuñgne (mbuñgna) kôp.
Ǹtoo mût u mɓèna hogɓɛ gwɔm (i) ɓūm.	Ntôô mut u mbéna hôgbe gwom (i) bum.
Mbòlò ı̀ ŋ̀gwià mɛ lɛ̀n i ŋkùmɛ̀.	Mbôlô i ñgwia me len i ñkume.
Màŋgɛ à ŋ̀kôm ni ŋŋɔ we.	Mañge a ñkôm ni ñño wé.
Ɓòt ɓàhɔgi ɓa njɛ̄ ɓakòlò.	Bôt bahogi ba nje bakôlô.
Hı̀nɔ̀ɔ̀ hi ŋkidi nyɛ.	Hinoo hi ñkidi nye.
Ù pàbla ɓâŋ, ɓɔy nyùu!	U pabla bañ, boy nyuu!
Ù ɓehel ɓâŋ màsı̀s hɔ̀ma ɓɛ̀lɛ̀sı̂n à yènɛ̀.	U béhél bañ masis homa belesin a yéne.
Sɔnglɛnɛ mɛ̀ ı̀ni kààt.	Songlene me ini kaat.
Ɓa ŋkɔ̀ŋlɛnɛ yalâk i ŋgôs i mbày	Ba ñkoñlene yalak i ñgôs i mbay
Mɛ̀ gaɓēges Nyambɛ i ŋgɛ̀mbɛ lı̀kɔ̀da.	Me gabégés Nyambe i ñgembe likoda.
Màlêt à ǹtelɓaha ŋ̀udu, ɓàudu ɓa ntelɓàhà.	Malét a ntélbaha ñudu, baudu ba ntélbaha.
Lı̀lɛ̀gɛ̀k jee li hiɓas li ŋkònha wɔŋi.	Lilegek jéé li hibas li ñkônha woñi.
I hɔ̀ma mànyùgnà ma yê wı̌p u nhāŋ ɓe hâ.	I homa manyugna ma yé wip u nhañ bé ha.
Màŋgɛ à m̂pɔmbɓa mɛ ı̄ mɔ̀ɔ.	Mañge a mpombba me i moo.
Ɓàkò ɓa ŋkɛ̀ ŋgwee ŋgandàk.	Bakô ba ñke ñgwéé ñgandak.
Ɓɛ̌mb mɛ yonhɛ wɛ̀ pân yɔ̀ŋ.	Bemb me yônhe we pan yoñ.
Mɛ̀ ǹsɛ̂ghɛnɛ wɛ lı̀sɛgɛ̀.	Me nseghene we lisege.
Hɛ̀ɛ mùt à ŋ̀kɔ̂p lep liɛ̀mb à m̂melēs yaga pum, à ntɛ̄k ɓe tɔga.	Hee mut a ñkop lép liemb a mmélés yaga pum, a ntek bé toga.
Màŋgɛ à mɓāk majò me ŋ̀ŋɔ.	Mañge a mbak majô mé ñño.
Kɔ̀n u nhuyha mɛ jòl jɔŋ.	Kon u nhuyha me jôl joñ.
Kii ǹsaŋ à ŋ̀ogōl man?	Kii nsañ a ñôgôl man?
Mùt à ǹti mɔnı̄ kı̀i ŋ̀kàk likı̀l u ntina inyùu ŋgɔ̀nd (Màn 22,17).	Mut a nti moni kii ñkak likil u ntina inyuu ñgond (Man 22,17).
Ɓàlɔ̌lɔ̀ ɓa ye ŋgàndàk munu i lɔ̀ŋ yes Kamɛ̀rûn.	Balolo ba yé ñgandak munu i loñ yés Kamerun.
Kihi nı̀ lı̀yɔt.	Kihi ni liyot.
Mùt à nhā hond i ŋgèdà ɓa ŋkēes mût (màm ma kwâŋ).	Mut a nha hônd i ñgéda ba ñkéés mut (mam ma kwañ).
Ǹlom lı̀tı̌ŋ Ànɛ̀ (i) lɔ̂ŋ i Kamɛ̀rûn:Constitution de la République du Cameroun .	Nlôm litiñ Ane (i) loñ i Kamerun:Tjônstitutiôn dé la Républiqué du Tjamérôun .
Mɛ̀ ncı̄l wɛ ɓɛ̄ɛ yɔŋ malep.	Me ntjil we bee yoñ malép.
Wanda i ŋɔŋ pubuù inyùu lı̀ɓiı̂.	Wanda i ñoñ pubuu inyuu libii.
À ŋweŋi ŋgɔ̀lɛ à tà à jɛk ɓee.	A ñwéñi ñgole a ta a jek béé.
À m̂ɓodlaha mɛ ndɔ̀bɔ̀ nı̀ mɔ̀ɔ.	A mbôdlaha me ndobo ni moo.
Ǹsɔhɔ u yenɛ̀ i kède bı̀hès.	Nsoho u yéne i kédé bihés.
Ŋgàdà mı̀ŋgɔndɔ.	Ñgada miñgondo.
Ù gwèe kààt màuwa.	U gwéé kaat mauwa.
Auriculaire.	Auritjulairé.
Gwɔ̌m gwɛn bini?	Gwom gwen bini?
A m̂ɓon lɛ à gaōmlɛ mɛ màholâ.	A mbôn le a gaômle me mahôla.
Ɛ i nyandı̀.	E i nyandi.
Mɛ̀ m̂ɓɛhna i ndɔ̀bɔ̀.	Me mbehna i ndobo.
Kia hɔ̄t.	Kia hot.
Lı̀ɓan nɔ̌p.	Liban nop.
Mɛ̀ ǹsêgha nyɛ bı̀tamb, dı̀ ǹsêgha bitamb gwes.	Me nségha nye bitamb, di nségha bitamb gwés.
Hı̀tɔ̀tɔ̀ŋ liɓàŋgà.	Hitotoñ libañga.
Ù ǹnegel mɛ ı̄ kı̄i?	U nnégél me i kii?
Lɛk mùt jǎp.	Lek mut jap.
Yɛ̀mɛl (i) kihɔ̄p lı̀kedêl,...(i) mbuk lı̀kedêl.	Yemel (i) kihop likédél,...(i) mbuk likédél.
Ɓa ŋōo ɓakwadɛ nı̀ bı̀kɛ̀y.	Ba ñôô bakwade ni bikey.
Màlêt à mɓàt maŋgɛ sǔglù màmbàdgà.	Malét a mbat mañge suglu mambadga.
Ɓàpàgi ɓa mâl mɛ màkɔ̀ndɔ̀ lɛ ɓàm.	Bapagi ba mal me makondo le bam.
Lı̀ɓahâk jee li hı̀nɔ̀ɔ li nnùnda lɛ à ńyı̄ ndı̂mbhɛ̀.	Libahak jéé li hinoo li nnunda le a nyi ndimbhe.
Mɛ m̂ɓɛlɛ̄l ten jǎŋgòlò.	Me mbelel tén jañgôlô.
Mɛ m̂ɓɛlɛ̄l ten jǎŋgòlò.	Me mbelel tén jañgôlô.
À m̂ɓɔdɔl liɓɔt li bitèk.	A mbodol libot li biték.
Màtı̀là wɛ̀m à nhɔ̄ɔ nsɔn.	Matila wem a nhoo nson.
Ǹtodoo u mɓɛp kɔgɔɔ̄ mɛ̂.	Ntôdôô u mbep kogoo me.
Lı̀hindi li mbɔmbɔ̀ li kònha wɔŋi.	Lihindi li mbombo li kônha woñi.
Ŋgàndàk yèe bı̀tèk ı̀ ǹhedɓaha nyɛ.	Ñgandak yéé biték i nhédbaha nye.
Inyùu kı̄i ù mmɔ̀gɔp hâ?	Inyuu kii u mmogop ha?
Lı̀ɓâk jɔŋ li nsùhul wɛ̂!	Libak joñ li nsuhul we!
I[204]mbɛɛ ndôŋ mùt ı̀ni?	I[204]mbee ndôñ mut ini?
Mùt à ntōp jumɛ̀?	Mut a ntôp jume?
Ù gwèe ɓɔ̀n ɓaŋɛn?	U gwéé bon bañen?
Dı̀ ǹsɛ̂ŋga mbɛgɛ̀; dı̀ ǹsɛɛ̄ŋga mbɛgɛ̀.	Di nseñga mbege; di nseeñga mbege.
Ɓa mɓok nyɛ māŋg i ŋgèdà bı̀sàŋ.	Ba mbôk nye mañg i ñgéda bisañ.
M̀pùŋgùl lep; m̂pùŋgùl ɓòt.	Mpuñgul lép; mpuñgul bôt.
Lı̀toy li malep li ntoohɛ mɛ̂.	Litôy li malép li ntôôhe me.
Mɛ̀ ɓê i jàŋgò ǹtɔ̀nɓà u tihlɛ mɛ̂ i ŋɛm lipàn.	Me bé i jañgô ntonba u tihle me i ñem lipan.
Mùt nunu à ǹtumbūp hana lɛ̀n!	Mut nunu a ntumbup hana len!
Ù kimı̂s ɓâŋ mɛ̀.	U kimis bañ me.
Kùduk ŋɔ.	Kuduk ño.
Kùduk ŋɔ.	Kuduk ño.
Hɛɛ ù m̂pêŋgnɛ likɔ̀ŋ.	Hee u mpéñgne likoñ.
Ŋ̀kuu mı̂m nı̀ mbɔŋ gwɔn biye bı̀jùl bi mı̂m.	Ñkuu mim ni mboñ gwon biyé bijul bi mim.
Mǎŋgòlò ma nsêmha mɔmasô.	Mañgôlô ma nsémha momasô.
Ǹlòŋ u UPC.	Nlôñ u UPTJ.
À ŋ̀weha nyɛ nyùu.	A ñwéha nye nyuu.
Mɛ̀ ɓembha nyɛ̄ mɔ̀ɔ̀ yani.	Me bémbha nye moo yani.
Màwanda ma ńyēŋnà.	Mawanda ma nyéñna.
Kii à ŋūnûp?	Kii a ñunup?
Mùt lı̀mɔŋ à yè mùt à ŋgwɛ̀l mâm ŋ̀kɔda .	Mut limoñ a yé mut a ñgwel mam ñkoda .
Hɛ̀ nyɛ ɓee, njɛɛ mpɛ?	He nye béé, njee mpe?
Màlep ma nsaŋgı̂.	Malép ma nsañgi.
À ǹnimis mbèŋga i màsak.	A nnimis mbéñga i masak.
Kôsi ı̀ ǹhulūl mɛ ndāp yɔ̀sô.	Kôsi i nhulul me ndap yosô.
Baladùm ɓa nhèges mambɛ̀gɛ̀ɛ̀; mɛ̀ ǹhegēs bitèk.	Baladum ba nhégés mambegee; me nhégés biték.
Ɓɔ̀ŋgɛ ɓa nsɔ̀lɓànà.	Boñge ba nsolbana.
Lı̀nɛ̀dɛ̀k li ɓòt ɓa ntòk bɔ̂y.	Linedek li bôt ba ntôk boy.
Hi mût à ŋ̀unɓɛnɛ maasāŋ à kòli nı̀ bı̀keehɛnɛ (Mt 5,22).	Hi mut a ñunbene maasañ a kôli ni bikééhene (Mt 5,22).
Hi mût à ŋ̀unɓɛnɛ maasāŋ à kòli nı̀ bı̀keehɛnɛ (Mt 5,22).	Hi mut a ñunbene maasañ a kôli ni bikééhene (Mt 5,22).
Ŋgɔmı̂n à ŋŋènlaha ɓes ɓēba.	Ñgomin a ññénlaha bés béba.
Pee ı̀ ŋ̀ûhnɛ mɛ màmaŋ.	Péé i ñuhne me mamañ.
Mɛ̀ nunu mɛ̀ ǹhendel i mùù lɔ̂m.	Me nunu me nhéndél i muu lom.
Hana isı̄ hyàŋgaa mùt à tà ɓe ŋgwa.	Hana isi hyañgaa mut a ta bé ñgwa.
Ɓàgàl ŋ̀kaa.	Bagal ñkaa.
Njèe ɔ̄mb; njèe lı̀kidı̂k.	Njéé omb; njéé likidik.
Ɓa nihba (nibha) mɛ lɛ̄ ù ǹleba mudàa.	Ba nihba (nibha) me le u nléba mudaa.
(ı̀)Ɓap pōs moo.	(i)Bap pôs môô.
Mùt à ŋ̀aŋgɓɛnɛ ŋkı̀l weē.	Mut a ñañgbene ñkil wéé.
Jɔ̀p li nsôs.	Jop li nsôs.
Mɛ̀ m̂pɔɔ̄ mɔnı̄.	Me mpoo moni.
À m̂ɓûmlaha mɛ kùmul.	A mbumlaha me kumul.
Ɓǒk ɓès i ɓās cɔ̀bi.	Bôk bés i bas tjobi.
Kɛmbɛɛ̀ nı̀ lı̀ɓee (i) mbɔ̀m.	Kembee ni libéé (i) mbom.
Ù ùmɛ ɓâŋ lɛ bı̀ɓeba bianɛ̄ mɛ̀! (Hyèm 19,14).	U ume bañ le bibéba biane me! (Hyém 19,14).
njɔ̀k lɔ̀lɔ̀ ı̀ ŋ́ŋwɔ̄grɛ̀	njok lolo i ññwogre
Ŋ̀ɛ̀nd mı̀ŋɔ à ŋ̀kan nyɛ ǹtònɛ.	Ñend miño a ñkan nye ntône.
Mɛ̀ ŋgwēs bikɔyɛ̂.	Me ñgwés bikoye.
Unu lēp u nsēl i ndèè sèp.	Unu lép u nsél i ndéé sép.
"Mɛ̀ kı̀ mɛ̀ mèba nı̀ tèk limà" Hyòb 33:6.	"Me ki me méba ni ték lima" Hyôb 33:6.
Mɛ̀ ǹnuŋūl kop dı̀koo diaâ.	Me nnuñul kôp dikôô diaa.
Dı̀ biɓōlha Edēyà (i Èdeyà).	Di bibôlha Édéya (i Édéya).
Lı̀tam li kagā; ǹsɔ̀n kagā; nyɔ kàgaò.	Litam li kaga; nson kaga; nyo kagaô.
Lò i ye kɔ̀n ŋ̀kɛŋi.	Lô i yé kon ñkeñi.
Ŋgı̀m ɓôt i ńyı̄ ndoŋòl.	Ñgim bôt i nyi ndôñôl.
Mùt à mpɔ̄t dilemb (à ńyı̄ hɔp m̂pɛ, tɔ̀ ŋgàndàk màhɔp màpɛ).	Mut a mpot dilémb (a nyi hop mpe, to ñgandak mahop mape).
Ɓàŋwɛ̀kŋwɛ̀k ɓa ntòl i ŋgèdà mbèŋ.	Bañwekñwek ba ntôl i ñgéda mbéñ.
Mbaŋg cèe; mbaŋg bı̀hès.	Mbañg tjéé; mbañg bihés.
Lı̀ɓòdlàk jɔŋ li ɓolō li ŋēba lɛ ù ńyɛ̀ŋgɛ̀p .	Libôdlak joñ li bôlô li ñéba le u nyeñgep .
Kɔ̀dɓà yes i mɓugı̂.	Kodba yés i mbugi.
Nunu mùt à yè ŋgɔɔ.	Nunu mut a yé ñgoo.
Yada ikède biaâ,...binâ, bitân...mbogôl, ..hı̀koo.	Yada ikédé biaa,...bina, bitan...mbôgôl, ..hikôô.
Ɓı̀nɓɛ̀ à ǹjɛ mɛ ŋgı̀m pɛ̀s wɔm.	Binbe a nje me ñgim pes wom.
Ɓàtı̀ı̀ mbɔ̀m isı̄ ɓa njɛ̄ ɓe ntu nugā.	Batii mbom isi ba nje bé ntu nuga.
Kɔ̀n u lisɔ̀ŋ u ŋkeŋɓaha nyɛ lı̀maŋ.	Kon u lisoñ u ñkéñbaha nye limañ.
Dı̀ ŋ̀gwuhà; màɔ̀k ma lien mɔn ma ŋ̀gwuhà mɛ̂!	Di ñgwuha; maok ma lién mon ma ñgwuha me!
Ɓa bitı̄hlaha ŋ̀ɔ mbɔk nı̀ ŋwɛ̌l mbɔk.	Ba bitihlaha ño mbok ni ñwel mbok.
Mɛ̀ ǹlɛ̂ŋ ŋgɔ̂k munu malēp dı̀ŋgii di pam.	Me nleñ ñgok munu malép diñgii di pam.
Màlep màleega ma ŋkobna mɛ̂, mɛ̀ hɔndı̀ .	Malép malééga ma ñkôbna me, me hondi .
Mɛ̀ ŋ̀kɛ̂ ndà ŋgambi! .	Me ñke nda ñgambi! .
Ŋgaa yɔn i ye jòl gwêt.	Ñgaa yon i yé jôl gwét.
À ŋkōblɛ nyâŋ lı̀kɔ̀ndɔ̀.	A ñkôble nyañ likondo.
Mùdàa dı̀ɔŋɔl à ńyèn ɓe (i) ndāp .	Mudaa dioñol a nyén bé (i) ndap .
Koy ı̀ ǹhim, ı̀ kwêl mincɛ̂p mı̀mpɛ lɛ kwàndàm.	Kôy i nhim, i kwél mintjep mimpe le kwandam.
Kɛ̀ɛ tòdol ǹsɔŋ.	Kee tôdôl nsoñ.
À mɓōdlɛ wɛ ŋ̀ɛm.	A mbôdle we ñem.
kɛl lɛ̀n ı̀ yè puyɛpūyɛ	kel len i yé puyepuye
Tɔ̀ jàm = tɔ̀ liɓât.	To jam = to libat.
Ɓeba njɛ̂l yɔn i nnômha mɛ̂.	Béba njel yon i nnômha me.
Dı̀lɔ cada.	Dilo tjada.
Wàhkòlò mût.	Wahkôlô mut.
Ɓàmbɛ̀ mût.	Bambe mut.
Lı̀ɛ̀gɓàk li mût wı̌p.	Liegbak li mut wip.
Kàà à ŋ̀kandna ni ɓěs.	Kaa a ñkandna ni bés.
Lı̀ɓehel li cee li ye ı̄ mbēega.	Libéhél li tjéé li yé i mbééga.
Ù yè gwàà gwaŋɛn?	U yé gwaa gwañen?
Mùt kɔ̀n à ŋkı̄mil mɛ̂.	Mut kon a ñkimil me.
"Mɛ̀ biɓèŋgɛ i wı̄ndà i hikàmbà hyɛ̂m..", Bı̀ŋgèŋgên 7,6.	"Me bibéñge i winda i hikamba hyem..", Biñgéñgén 7,6.
Dı̀ nnyōla maɔ̀k ma ŋgaŋ.	Di nnyôla maok ma ñgañ.
Ù nnɔ̀la kı̀i jōŋ mût.	U nnola kii jôñ mut.
Mbɛ̀ŋɛ̀l à nlɔ̀ɔ̀ ŋgwee.	Mbeñel a nloo ñgwéé.
Pɔt nı̀ ɓɔ̀ŋ bi yē màm mâ.	Pot ni boñ bi yé mam ma.
Èŋgà yɛ̂m ini i mbàà njɛ̀l.	Éñga yem ini i mbaa njel.
Su u gweē mı̀s maà.	Su u gwéé mis maa.
Mbàs ı̀ ǹhambâ.	Mbas i nhamba.
Mbàgi sēp; pemês mbàgi.	Mbagi sép; pémés mbagi.
M̀ɓɔ̀ga dinyɛ̀t.	Mboga dinyet.
Mɛ̀ m̂ɓaāgɛnɛ inyǔlɛ̄ mɛ̀ kɛ̀nɛk ŋgwee.	Me mbaagene inyule me kenek ñgwéé.
Lı̀ɓàŋàl li kumba? lı̀ɓàŋal li kumbā? (MLY) .	Libañal li kumba? libañal li kumba? (MLY) .
Kı̀dà hisɔɔ.	Kida hisoo.
Mbáábà cǒs (MLY).	Mbaaba tjôs (MLY).
Kààt yɛ̀m ı̀ ŋ̀wehı̂.	Kaat yem i ñwéhi.
ı̀ Hyɛn hini hı̀nùni?	i Hyen hini hinuni?
